Year,ID,Area,QS,N/ha,Manure/ha,Mulch/ha,Yield/ha,for crop
1,Parcel14737.595973426742-b703609_18a74ce22e5_-6525,0.392,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel46198.23790819146-b703609_18a74ce22e5_-638e,0.391,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel86164.87238284106-b703609_18a74ce22e5_-64c2,0.391,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel36211.22922942951-b703609_18a74ce22e5_-64b2,0.358,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel74480.927931364-b703609_18a74ce22e5_-6365,0.205,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel8863.208118337085-b703609_18a74ce22e5_-6383,0.454,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel374.7668062194953-b703609_18a74ce22e5_-6302,0.507,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel30335.483105653617-b703609_18a74ce22e5_-6438,0.272,1.010,39.620,657.584,0.000,0.000,Fallow
1,Parcel45287.62178323197-b703609_18a74ce22e5_-63ee,0.410,1.010,39.620,657.584,0.000,0.000,Fallow
1,Parcel3191.3944936278303-b703609_18a74ce22e5_-643d,0.296,1.010,39.620,657.584,0.000,0.000,Fallow
1,Parcel63998.388344426814-b703609_18a74ce22e5_-6474,0.414,1.010,39.620,657.584,0.000,0.000,Fallow
1,Parcel68311.95720743974-b703609_18a74ce22e5_-6422,0.374,1.010,39.620,657.584,0.000,0.000,Fallow
1,Parcel84432.15578545473-b703609_18a74ce22e5_-644e,0.325,1.010,39.620,657.584,0.000,0.000,Fallow
1,Parcel72288.74108602272-b703609_18a74ce22e5_-644d,0.145,1.010,39.620,657.584,0.000,0.000,Fallow
1,Parcel27186.665278788412-b703609_18a74ce22e5_-6448,0.492,1.010,39.620,657.584,0.000,0.000,Fallow
1,Parcel35107.13127971393-b703609_18a74ce22e5_-647c,0.079,1.010,39.620,657.584,0.000,0.000,Fallow
1,Parcel50026.112659925195-b703609_18a74ce22e5_-6434,0.248,1.010,39.620,479.371,0.000,0.000,Fallow
1,Parcel61150.11556157137-b703609_18a74ce22e5_-6405,0.328,1.010,39.620,479.371,0.000,0.000,Fallow
1,Parcel39210.860215131426-b703609_18a74ce22e5_-643f,0.387,1.010,39.620,479.371,0.000,0.000,Fallow
1,Parcel50651.93497201235-b703609_18a74ce22e5_-643b,0.206,1.010,39.620,479.371,0.000,0.000,Fallow
1,Parcel5245.382800936971-b703609_18a74ce22e5_-643c,0.487,1.010,39.620,479.371,0.000,0.000,Fallow
1,Parcel53015.340382773145-b703609_18a74ce22e5_-63fa,0.441,1.010,39.620,479.371,0.000,0.000,Fallow
1,Parcel17412.58829947164-b703609_18a74ce22e5_-63dd,0.285,1.010,39.620,479.371,0.000,0.000,Fallow
1,Parcel71184.12301674101-b703609_18a74ce22e5_-63f7,0.231,1.010,39.620,479.371,0.000,0.000,Fallow
